"Start, Goal",Round,Path length (in steps),Time (in s),Memory (in KB),Nodes,Replans
"(12,5),(25,26)",R1,38,8,20.5,656,4
,R2,41,8.6,20.5,656,4
,R3,35,7.4,20.5,656,4
Average,,38,8,20.5,656,4
"(12,5),(33,16)",R1,38,8.1,20.5,656,13
,R2,33,7,20.5,656,0
,R3,35,10.4,20.5,656,24
Average,,35,8.5,20.5,656,12
"(12,5),(33,11)",R1,31,7.6,20.5,656,10
,R2,36,8,20.5,656,13
,R3,32,13.7,20.5,656,43
Average,,33,9.7,20.5,656,22
"(12,5),(29,25)",R1,38,8,20.5,656,1
,R2,41,8.6,20.5,656,2
,R3,40,8.4,20.5,656,3
Average,,40,8.3,20.5,656,2
"(12,5),(8,10)",R1,10,2.3,20.5,656,0
,R2,10,2.3,20.5,656,0
,R3,13,2.9,20.5,656,3
Average,,11,2.5,20.5,656,1
"(8,13),(25,26)",R1,34,7.2,20.5,656,3
,R2,52,10.9,20.5,656,17
,R3,47,9.8,20.5,656,10
Average,,44,9.3,20.5,656,10
"(8,13),(33,16)",R1,34,7.6,20.5,656,15
,R2,31,12.3,20.5,656,42
,R3,35,7.4,20.5,656,3
Average,,33,9.1,20.5,656,20
"(8,13),(33,11)",R1,32,6.8,20.5,656,5
,R2,31,6.5,20.5,656,1
,R3,28,6,20.5,656,0
Average,,30,6.4,20.5,656,2
"(8,13),(29,25)",R1,35,7.4,20.5,656,2
,R2,42,8.8,20.5,656,14
,R3,38,8,20.5,656,7
Average,,38,8,20.5,656,8
"(8,13),(8,10)",R1,4,1.1,20.5,656,0
,R2,4,1.1,20.5,656,0
,R3,4,1.1,20.5,656,0
Average,,4,1.1,20.5,656,0
"(35,2),(25,26)",R1,49,10.3,20.5,656,16
,R2,40,8.4,20.5,656,2
,R3,47,9.9,20.5,656,8
Average,,45,9.5,20.5,656,9
"(35,2),(33,16)",R1,45,9.4,20.5,656,9
,R2,35,7.4,20.5,656,0
,R3,40,11.1,20.5,656,23
Average,,40,9.3,20.5,656,11
"(35,2),(33,11)",R1,33,7,20.5,656,2
,R2,35,12.3,20.5,656,36
,R3,35,7.4,20.5,656,2
Average,,34,8.9,20.5,656,13
"(35,2),(29,25)",R1,43,9.8,20.5,656,5
,R2,40,8.4,20.5,656,0
,R3,45,9.4,20.5,656,5
Average,,43,9.2,20.5,656,3
"(35,2),(8,10)",R1,42,11.5,20.5,656,21
,R2,47,12.5,20.5,656,32
,R3,46,9.7,20.5,656,12
Average,,45,11.2,20.5,656,22
"(2,9),(25,26)",R1,50,10.4,20.5,656,2
,R2,174,35.9,20.5,656,72
,R3,316,72.7,20.5,656,171
Average,,180,39.6,20.5,656,82
"(2,9),(33,16)",R1,104,21.5,20.5,656,35
,R2,68,14.2,20.5,656,25
,R3,87,18,20.5,656,16
Average,,86,17.9,20.5,656,25
"(2,9),(33,11)",R1,64,13.3,20.5,656,11
,R2,59,12.3,20.5,656,4
,R3,73,20.6,20.5,656,47
Average,,65,15.4,20.5,656,21
"(2,9),(29,25)",R1,118,24.4,20.5,656,46
,R2,128,26.5,20.5,656,41
,R3,56,14.9,20.5,656,29
Average,,101,21.9,20.5,656,39
"(2,9),(8,10)",R1,76,15.7,20.5,656,27
,R2,30,6.3,20.5,656,2
,R3,37,7.8,20.5,656,8
Average,,48,9.9,20.5,656,12
"(22,13),(25,26)",R1,17,3.7,20.5,656,0
,R2,22,4.8,20.5,656,5
,R3,19,4.2,20.5,656,4
Average,,19,4.2,20.5,656,3
"(22,13),(33,16)",R1,17,11.1,20.5,656,53
,R2,16,4,20.5,656,6
,R3,16,38.6,20.5,656,174
Average,,16,17.9,20.5,656,78
"(22,13),(33,11)",R1,14,3.1,20.5,656,1
,R2,14,3.1,20.5,656,0
,R3,14,3.1,20.5,656,0
Average,,14,3.1,20.5,656,0
"(22,13),(29,25)",R1,20,4.3,20.5,656,0
,R2,21,4.6,20.5,656,2
,R3,24,5.2,20.5,656,5
Average,,22,4.7,20.5,656,2
"(22,13),(8,10)",R1,21,4.5,20.5,656,2
,R2,22,4.8,20.5,656,3
,R3,28,6,20.5,656,7
Average,,24,5.1,20.5,656,4
